slug,option,subject,suggested_search,image_url,notes
gum-vs-skin,A,gum,chewed bubblegum blob on white background,https://upload.wikimedia.org/wikipedia/commons/9/91/Pink_chewing_gum_%2820320076301%29.jpg,
gum-vs-skin,B,skin,close-up of human skin texture,https://upload.wikimedia.org/wikipedia/commons/5/5f/Human_skin_close-up.jpg,
m-states-vs-face-cards,A,letter M,the letter M large bold typography,/images/us-states.jpg,Local file (US states map)
m-states-vs-face-cards,B,face cards,playing cards jack queen king fanned out,https://upload.wikimedia.org/wikipedia/commons/b/bb/Jack%2C_Queen_and_King_of_Spades_in_Poker_cards.jpg,
nickels-vs-freds,A,nickel,pile of US nickels close-up,https://upload.wikimedia.org/wikipedia/commons/7/72/Jefferson-Nickel-Unc-Obv.jpg,"Single nickel obverse, not a pile - close enough substitute"
nickels-vs-freds,B,Fred,hello my name is Fred name tag,https://upload.wikimedia.org/wikipedia/commons/d/db/Hello_my_name_is_sticker.svg,Generic blank Hello My Name Is sticker - no 'Fred' fill
threes-vs-foul-balls,A,3-pointer,NBA player shooting a three-point shot,https://upload.wikimedia.org/wikipedia/commons/b/b4/Matt_Thomas_shoots_three-pointer_for_San_Diego_State.jpg,College player not NBA - close substitute
threes-vs-foul-balls,B,foul ball,baseball foul ball hit into stands,https://upload.wikimedia.org/wikipedia/commons/c/ca/Foul_Ball_in_Stands_%2842696349652%29.jpg,
tv-teens-vs-seniors,A,teen watching tv,teenager lying on couch watching TV with remote,https://images.unsplash.com/photo-1770587899537-23e617e17767?w=400&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8dGVlbiUyMGNvdWNoJTIwcGhvbmV8ZW58MHx8MHx8fDA%3D,Unsplash
tv-teens-vs-seniors,B,senior watching tv,elderly person watching TV on couch,https://upload.wikimedia.org/wikipedia/commons/9/97/Family_watching_television_1958.jpg,"Vintage 1958 family scene, not specifically elderly - substitute"
soda-vs-snot,A,soda,cola being poured into glass with ice,https://upload.wikimedia.org/wikipedia/commons/9/9f/Glass_of_Coca-Cola_at_Stone%27s.jpg,"Cola in glass, may not have ice visible"
soda-vs-snot,B,snot,child blowing nose into tissue,/images/snot.jpg,Local file
diapers-vs-pizza,A,diaper,clean white baby diaper on plain background,https://upload.wikimedia.org/wikipedia/commons/2/27/Folding_diapers_LCCN2016872277.jpg,Cloth diapers being folded - close substitute
diapers-vs-pizza,B,pizza,single pepperoni pizza slice on white,https://upload.wikimedia.org/wikipedia/commons/4/46/Pepperoni_pizza_slice_on_a_red_plate.jpg,"Slice on red plate, not white background"
tp-sheets-vs-family-water,A,toilet paper,white toilet paper roll on plain background,https://upload.wikimedia.org/wikipedia/commons/d/d7/Toilet_Paper_roll.jpg,
tp-sheets-vs-family-water,B,water,running kitchen faucet water streaming,https://upload.wikimedia.org/wikipedia/commons/e/e1/Water_running_out_of_a_faucet.JPG,
batteries-vs-hippo,A,AA batteries,pile of AA batteries stacked,https://upload.wikimedia.org/wikipedia/commons/5/5a/AA_Batteries_%2851825378856%29.jpg,
batteries-vs-hippo,B,hippo,adult hippopotamus standing near water,https://upload.wikimedia.org/wikipedia/commons/a/a9/Hippopotamus_in_the_Zambezi.jpg,
cow-vs-kid-milk,A,dairy cow,black and white holstein dairy cow in field,https://upload.wikimedia.org/wikipedia/commons/b/b0/Holstein_dairy_cows.jpg,
cow-vs-kid-milk,B,kid drinking milk,young child drinking glass of milk,https://upload.wikimedia.org/wikipedia/commons/d/d0/Baby_drinks_milk.jpg,
